program,summary_description,program_description,geography,legislation,topic,subtopic,building_blocks,racf_categories,flexible_fund, allocation ,spent,amount_exact,percent_spent,agency,source,source_url,current_as_of,expiration,is_expired,notes,Tina's notes
Targeted Business Revitalization Grant Program,,Grant assistance program for small existing and start-up commercial and manufacturing businesses with expansion and/or business retention projects.,Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Small Business Supports,Create jobs for residents hardest hit by the pandemic or who face the greatest barriers to employment,Partnering against poverty,Yes,"$3,698,100 ","$57,000 ",1,,Neighborhood and Business Development,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Could potentially fit within the reinvest in disinvested communities building block depending on if there is a specific focus of the grants,"This is also equitable recovery, put it under creating jobs"
Revolving Loan Fund,,"Establish and administer a revolving loan fund, primarily microloans up to $50,000*, to provide access to capital and technical assistance not otherwise available to small and start-up businesses",Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Small Business Supports,Create jobs for residents hardest hit by the pandemic or who face the greatest barriers to employment,Partnering Against Poverty,Yes,"$5,000,000 ",,1,,Monroe County Department of Planning,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v13,12/22/2022,,,Could potentially fit within the reinvest in disinvested communities building block depending on if there is a specific focus of the grants,
Corn Hill Navigation Downtown Tour Boat,,"Establishment of a new downtown tour boat, docked at Corn Hill Landing, is an important ROC the Riverway initiative and is anticipated to be a major tourist attraction for our community. In addition, CHN will establish its new ticket and office operation at Corn Hill Landing.",Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Tourism,,,Yes,"$150,000 ","$100,000 ",1,,Neighborhood and Business Development,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Infrastructure or CED?,
International Plaza Additional Vending Space,,Expansion of vending and multi-use event spaces and provide new business development support services.,Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Tourism,,,Yes,"$75,000 ",$0 ,1,,Recreation and Human Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Infrastructure or CED?,
Blue Cross Arena At The War Memorial - Ice Plant Replacement,,"The Blue Cross Arena at the War Memorial was constructed in the 1950's and is the home to the Rochester Americans AHL hockey team and hosts many other sports and public events throughout the year. This project includes design and intallation of a modern replacement ice chiller plant, which creates and maintains the ice sheet, utilizing an allowable refrigerant type.",Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Tourism,,,Yes,"$3,000,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Infrastructure or CED?,
Rochester Riverside Convention Center South Terrace Expansion,,"This ROC the Riverway project encompassing a building addition and modernazation to the southwest face of the RRCC to create a new and revitalized event space that directly engages with the downtown riverfront. The expanded space will enable patrons to participate in Convention Center events and enjoy the spectacular views of the majestic Genesee River simultaneously. The project will also include, but is not limited to, building facade repairs and strategic river wall repairs.",Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Tourism,,,Yes,"$6,000,000 ","$62,394 ",1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Infrastructure or CED?,
Workforce Development Services and Expansion,,"Funding will be utilized to provide transformative workforce development experiences for adults and youth. Adult services include paid job training in multiple fields, job placement services, financial literacy, academic services, entrepreneurship and small business services, workforce readiness workshops, and job fairs. Youth services include the creation of additional youth internships that focus on public service, entrepreneurship, personal growth and enrichment; financial literacy training and access to simple banking opportunities. A portion of the funding will also be used to purchase a vehicle for mobile outreach efforts.",Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering against poverty,Yes,"$16,675,000 ","$38,400 ",1,,Recreation and Human Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,"Does workforce development fit under CED or social services? (tina's response: according to the fed: “Workforce development” is an essential component of community economic development in any economic climate, and certainly even more critical during the financial crises we're experiencing today.)",Should this be partnering against poverty for the RACF categories? (edited)
Young Adults Manufacturing Training Employment Program,,"Expansion of the capacity of this existing, successful program. Additional participants will gain manufacturing skills and complete required occupational health and safety trainings while networking with local employers to begin a successful career in the trades.",Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering against poverty,Yes,"$300,000 ","$300,000 ",1,,Undistributed Expenses,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,"Does workforce development fit under CED or social services? (tina's response: according to the fed: “Workforce development” is an essential component of community economic development in any economic climate, and certainly even more critical during the financial crises we're experiencing today.)",
Youth Employment Services,,Provision of employment skills training and stipends for youth.,Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering against poverty,Yes,"$150,000 ","$60,610 ",1,,Recreation and Human Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,"Does workforce development fit under CED or social services? (tina's response: according to the fed: “Workforce development” is an essential component of community economic development in any economic climate, and certainly even more critical during the financial crises we're experiencing today.)",
Rochester Educational Opportunity Center (REOC) Mobile Welding Lab,,"A mobile welding lab that offers training programs to at-risk youth (18-24), inmates and offenders on probation that have significant barriers to employment.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$1,317,950 ",,1,,The Research Foundation for SUNY Brockport,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v2,12/22/2022,,,"Does workforce development fit under CED or social services? (tina's response: according to the fed: “Workforce development” is an essential component of community economic development in any economic climate, and certainly even more critical during the financial crises we're experiencing today.)",
Urban League of Rochester Workforce Development Program for Under and Unemployed Individuals,,"A wraparound program supporting underrepresented communities in distressed zip codes focused on training for skilled trades workers including Mold Abatement Workers, Asbestos Handlers, and Lead Abatement Workers.  Also offers certifications in OSHA 10.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$3,139,007 ",,1,,"Urban League of Rochester, NY, Inc.",Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v4,12/22/2022,,,"Does workforce development fit under CED or social services? (tina's response: according to the fed: “Workforce development” is an essential component of community economic development in any economic climate, and certainly even more critical during the financial crises we're experiencing today.)",
Transforming Lives through Nursing Pathways ,,"Expand and strengthen the LPN, CNAT&D, HHA, and the Clinical Bridge programs to promote a smoother transition for working LPNs to succeed in MCC’s RN program.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$5,500,000 ",,1,,Monroe Community College,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v5,12/22/2022,,,"Does workforce development fit under CED or social services? (tina's response: according to the fed: “Workforce development” is an essential component of community economic development in any economic climate, and certainly even more critical during the financial crises we're experiencing today.)",
MAPP / PROJECT PHOENIX,,"A program that focuses on giving underrepresented communities the tools, training and support they need to succeed in the skilled trades.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$1,200,000 ",,1,,"Multicraft Apprenticeship Preparation Program, Inc.",Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v6,12/22/2022,,,"Does workforce development fit under CED or social services? (tina's response: according to the fed: “Workforce development” is an essential component of community economic development in any economic climate, and certainly even more critical during the financial crises we're experiencing today.)",
Cariola Workforce Development Program Supporting Careers in the Education and Support of Individuals with Complex Disabilities,,A wraparound service and workforce development program to help individuals with disabilities.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$2,022,230 ",,1,,Mary Cariola Center,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v7,12/22/2022,,,"Does workforce development fit under CED or social services? (tina's response: according to the fed: “Workforce development” is an essential component of community economic development in any economic climate, and certainly even more critical during the financial crises we're experiencing today.)",
"Youth Workforce Consortium aka ""The Hive""",,"A collaborative 'Hive' program geared toward BIPOC youth that offers year-round workforce programming, wraparound services and career placement pathways.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$5,869,117 ",,1,,EnCompass: Resources for Learning,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v8,12/22/2022,,,"Does workforce development fit under CED or social services? (tina's response: according to the fed: “Workforce development” is an essential component of community economic development in any economic climate, and certainly even more critical during the financial crises we're experiencing today.)",
Dress for Success Rochester: Road to Success ,,A mobile boutique and career center that would offer workforce training and career attire for underserved women.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$588,820 ",,1,,Dress for Success Rochester,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v9,12/22/2022,,,,
Transformational Community Care Coordination (TC3),,"A workforce development program that would pay SNFs and HHCAs for the successful recruitment and training of certified nursing assistants (CNAs), home health aides (HHAs), licensed practical nurses (LPNs), and registered nurses (RNs), which will expand service capacity within the SNFs and HHCAs.  Monroe County (MC) SNFs and HHCAs would receive $11,500 per CNA/HHA employed and trained.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$5,500,000 ",,1,,FLPPS,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v10,12/22/2022,,,"Does workforce development fit under CED or social services? (tina's response: according to the fed: “Workforce development” is an essential component of community economic development in any economic climate, and certainly even more critical during the financial crises we're experiencing today.)",
Transportation Focused Job Skills Program for Monroe County Adults and Families ,,Program that will provide no cost loans or grants to those at or below 200% of the Federal poverty line no cost loans or grants who need transportation to start or keep employment. Support services such as employment coach/mentor and financial literacy. ,Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$1,400,000 ",,1,,Monroe County DHS,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v12,12/22/2022,,,,
Language Access Program and MWBE Micro Loan Program,,"Upgrade access to language services: the department will work with local educational institutions like RIT and MCC to get over 200 people (community members and employees) certified, trained and developed to deliver language access services in their respective departments or community organizations. This program also proposes to purchase equipment and tools for interpretation services that can be borrowed by MC Departments and approved community organizations; Increase opportunity for MWBEs to kick start their growth while increasing the strength of entrepreneurship in Monroe County for women and people of color.  The program will fund justified equipment, material, or personnel costs to help MWBEs start-up or expand their business over a 12-month period. The program proposes to fund 40-60 (10-15 per year) businesses over 4 years.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$1,000,000 ",,1,,Monroe County DEI,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v14,12/22/2022,,,,
Virtual Co-location Workforce Plan,,"Use software developer to create a one stop location for job seekers to identify their aptitude, locate available jobs that fit, and available training to obtain jobs. ",Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Workforce Development,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$4,000,000 ",,1,,Monroe County Department of Planning,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v15,12/22/2022,,,"Does workforce development fit under CED or social services? (tina's response: according to the fed: “Workforce development” is an essential component of community economic development in any economic climate, and certainly even more critical during the financial crises we're experiencing today.)",
Neighborhood Resource Centers,,"The creation of Neighborhood Centers at Lewis Street, Thurston Road, and inside the Maplewood Family Branch.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Youth Services,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$2,031,544 ",,1,,YMCA of Greater Rochester,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v3,12/22/2022,,,,"The question here is what they do at these neighborhood centers? Is it after school programming and job training types of activities? If so, I think it would go under a building block and the partnering against poverty RACF category (These are YMCA centers)"
Home Rehabilitation Assistance - Senior Owner Occupant,,"Provision of financial assistance to income-eligible, owner-occupant seniors. Funds will be allocated to support areas where housing development projects are located, areas where the most gain can be achieved as per the Housing Market Study, and to mitigate blight and hazards city-wide.",Rochester,ARPA State and Local Fiscal Recovery Funds,Housing,Blight Mitigation,Stabilize housing and expand affordable housing,Promoting Successful Aging,Yes,"$1,000,000 ","$163,275 ",1,,Neighborhood and Business Development,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Home Rehabilitation Assistance - Owner Occupant,,"Provision of rehab grants to income-eligible, owner-occupants. Funds will be allocated to support areas where housing development projects are located, areas where the most gain can be achieved as per the Housing Market Study, and to mitigate blight and hazards city-wide.",Rochester,ARPA State and Local Fiscal Recovery Funds,Housing,Blight Mitigation,Stabilize housing and expand affordable housing,,Yes,"$5,827,200 ","$1,092,778 ",1,,Neighborhood and Business Development,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Roofing Rehabilitation Program,,"Expansion of the City's high demand roofing assistance program. Funds may cover replacement of roofs, skylights, roof drains, gutters and roofign masonry structure/decking, and parapet reconstruction for income eligible homeowners.",Rochester,ARPA State and Local Fiscal Recovery Funds,Housing,Blight Mitigation,Stabilize housing and expand affordable housing,Partnering Against Poverty,Yes,"$7,852,200 ","$1,649,072 ",1,,Neighborhood and Business Development,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Targeted Mixed-Use Rehabilitation Grant Program,,"The Targeted Mixed-Use Rehabilitation Grant Program will provide financial assistance to eligible property owners who own a mixed-use property in identified targeted areas. Eligible uses for the program will included renovations to the residential units to address lead-based paint hazards, health and safety hazards, plumbing and electrical repairs, code violations and other improvements to meet certificate of occupancy standards.",Rochester,ARPA State and Local Fiscal Recovery Funds,Housing,Blight Mitigation,Stabilize housing and expand affordable housing,,Yes,"$2,080,000 ",$0 ,1,,Neighborhood and Business Development,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Lead Service Replacement - Homeowner Grant Program,,The funds provided will assist residentail property owners in replacing lead service lines in an effort to reduce the amount of lead in drinking water.,Rochester,ARPA State and Local Fiscal Recovery Funds,Housing,Blight Mitigation,Reinvest in disinvested communities,Advancing Environmental Justice and Sustainability,Yes,"$6,000,000 ",$0 ,1,,Neighborhood and Business Development,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,I feel like this is a building block or should be -- health. maybe it goes under reinvesting in disinvested communities since these are likely in low income communities?,
Rochester Energy Efficiency and Weatherization (RENEW),,Grants for low-income homeowners to receive energy-efficient home improvement.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Housing,Home Efficiency,Reinvest in disinvested communities,Advancing Environmental Justice and Sustainability,Yes,"$850,000 ",,1,,Rochester Energy Efficiency & Weatherization (RENEW),Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v16,12/22/2022,,,,
